sentence	idx	block	n1	n2	opt1	opt2	subExp	prodQuotN1	fNoLe	fLe	cond	govComp
Sie verlassen wegen  __________ die Wohnung.	36	1	x	x	dem Wetter	des Wetters	x	0	0	0	x	x
Die Gäste suchen die Wohnung des Herrn __________.	37	2	x	x	Gantenbein	Gantenbeins	x	0	0	0	x	x
Die Teilnehmerinnen wussten überwiegend nicht, was  __________ ist.	38	1	x	x	Tupper-Ware	Tupperware	x	0	0	0	x	x
Außer  __________ kann ich leider nichts mitbringen.	39	2	x	x	dem Essen	das Essen	x	0	0	0	x	x
In einer Studie wurde jetzt  __________, dass Aspirin nicht so gut wirkt wie gedacht.	40	1	x	x	bewiesen	nachgewiesen	x	0	0	0	x	x
Jetzt ist genau die richtige Zeit, um  __________ umzusetzen.	41	2	x	x	Nadel-Hölzer	Nadelhölzer	x	0	0	0	x	x
Im Fernrohr sahen wir den roten  __________ ganz deutlich.	42	1	x	x	Planet	Planeten	x	0	0	0	x	x
Die Autos beider  __________ Fahrer wurden verschrottet.	43	2	x	x	beteiligter	beteiligten	x	0	0	0	x	x
Die Kinder fuhren mit  __________ unzureichenden Helmen zur Schule.	44	1	x	x	solch	solchen	x	0	0	0	x	x
Wir  __________ das Auto dem Mann mehr als gerne.	45	2	x	x	übergaben	überließen	x	0	0	0	x	x
Es waren nur kleinere Delikte,  __________ sie überführt wurden.	46	1	x	x	deren	derer	x	0	0	0	x	x
Frederick beobachtete einen Einbruch, konnte aber im __________ niemanden erkennen.	47	2	x	x	Mondschein	Mondschimmer	x	0	0	0	x	x
Kinder sollen sich auf dem __________ sicher fühlen können.	48	1	x	x	Gehweg	Fußgängerweg	x	0	0	0	x	x
Nora hätte sich beim Einsteigen beinah an der __________ verletzt.	49	2	x	x	Wagentür	Autotür	x	0	0	0	x	x
Verglichen mit Ampeln sind __________ sicherer, aber teurer.	50	1	x	x	Straßentunnel	Unterführungen	x	0	0	0	x	x
Man darf im Büro nicht beim __________ erwischt werden.	51	2	x	x	Nichtstun	Nichtsmachen	x	0	0	0	x	x
Beim Lernen einer Sprache gibt es oft erhebliche phonetische __________ .	52	1	x	x	Anfangschwierigkeiten	Anfangsschwierigkeiten	x	0	0	0	x	x
Ullis Hund sprang um uns herum vor __________ .	53	2	x	x	Wiedersehensfreude	Wiedersehenfreude	x	0	0	0	x	x
Bei der Einreise in viele Länder muss man __________ dabei haben.	54	1	x	x	Einreisevisa	Einreisevisen	x	0	0	0	x	x
Maria und Jenny haben __________ Bilder von ihren Familienurlauben gezeigt.	55	2	x	x	sich gegenseitig	einander	x	0	0	0	x	x
Auf __________ wird nur ein sehr geringes Pfand erhoben.	56	1	x	x	Biersflaschen	Bierflaschen	x	0	0	0	x	x
Manche Menschen essen tatsächlich gerne ab und zu eine __________ .	57	2	x	x	Tüte Suppe	Tütensuppe	x	0	0	0	x	x
Im Magisterstudium musste man mehr __________ schreiben als im BA-Studium.	58	1	x	x	Seminarsarbeiten	Seminararbeiten	x	0	0	0	x	x
